a b c b c c b c b c b d e b b e b b e b b e b a
a b f b b f b b f b b f g b c b c b c c b c b a
h i f j d k j d k a h h h b l l h i l h i b l h
c h m m g k m g k c i c h a c l h i l h i k d d
h l l g a f c b f i i h g m m g a f c b f k n h
c b b h f b i d a b b c h f e h f b i f a f e h
c i i c l a a h d l l h h k n c l a a b d j j d
h l l g h a a l c i i c g m m g h a a l c k n h
c b b a g i h e h b b c h f e a g i b e h f e h
h i i e b c e a d l l h h k n e b c e a d j j d
c i c n d j n d j j h c g g n i h l i h l c a h
h h a n g m n g m e i h h l h i h l i h l l b h
a b b e b b e b b e b a a b c b c c b c b c b a
a b c b c b c c b c b a a b f b b f b b f b b a
h b l l h i l h i b l h h i f j d k j d k a h h
h a c l h i l h i k d d c h m m g k m g k c i c
g m m g a f c b f k n h h l l g a f c b f i i h
h f e h f b i d a f e h c b b h f h i d a b b c
