id,output,shape,width,facing,size,bg,top
a1,soleares.svg,triangle,3,west,medium,yellowgreen,False
b1,soleares.svg,circle,8,west,large,orange,True
c1,soleares.svg,line,6,south,medium,gray,True
a1,a.svg,line,2,east,medium,mediumvioletred,True
b1,a.svg,triangle,1,north,medium,orange,True
c1,a.svg,triangle,1,west,medium,mediumvioletred,True
a1,buleria.svg,circle,4,east,medium,yellowgreen,False
b1,buleria.svg,triangle,0,south,medium,white,False
c1,buleria.svg,circle,3,west,large,mediumvioletred,True
d1,buleria.svg,square,3,west,large,limegreen,False
e1,buleria.svg,circle,8,south,medium,gray,True
f1,buleria.svg,square,0,east,medium,gray,True
a1,buleria.svg,line,9,south,large,limegreen,False
b1,buleria.svg,line,0,west,large,indigo,False
c1,buleria.svg,circle,1,north,medium,black,True
d1,buleria.svg,square,9,south,medium,mediumvioletred,False
e1,buleria.svg,line,4,north,large,indigo,True
f1,buleria.svg,line,6,east,medium,white,True
